frame,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16
0,909.2285,227.83049,919.5929,214.49341,894.5737,213.00238,921.41327,222.59097,854.8116,219.60745,933.5234,307.28085,799.5872,305.3204,944.4905,432.6135,772.3015,428.89728,911.00323,515.925,824.14526,512.1319,907.27716,518.93225,807.4702,519.1114,928.2173,694.89557,764.0537,695.09045,951.0575,863.1014,736.2287,862.58624
1,906.8207,225.20444,916.1316,212.07285,892.6857,210.8443,915.9827,222.00742,853.8902,219.69127,930.7663,307.46475,799.6049,307.3223,945.52026,431.73206,771.4852,432.0926,911.18005,511.3961,825.72894,510.9796,909.8128,516.74176,811.98,517.7062,928.13654,690.17194,766.3984,691.9236,950.3949,860.78326,736.8884,861.27875
2,910.0322,225.23016,918.4188,212.11679,896.20776,211.27808,916.43646,221.91884,857.50385,220.5206,931.7188,306.60822,802.0783,307.4794,948.54333,427.10745,770.5824,428.7779,914.29083,505.42502,822.53577,507.25644,910.1452,516.44257,813.59937,517.90295,927.6469,688.9475,767.54913,692.4299,950.5474,857.6323,736.0362,860.15753
3,908.72174,225.85497,917.3214,212.03636,893.9015,212.10342,916.79083,220.82996,854.7614,221.65594,932.15735,306.03363,801.9566,308.339,948.83716,428.95148,772.69965,430.15796,914.1306,510.0078,825.2604,509.35477,908.82043,514.967,812.0614,517.12506,926.8127,686.77765,769.5746,691.38617,952.35864,855.4979,740.02893,858.18866
4,904.73645,238.24155,913.30963,225.07031,892.2768,224.32896,914.70123,230.18692,856.96277,227.70721,929.61646,308.481,804.5232,308.67014,946.4661,425.00775,771.9201,428.5956,911.42816,510.2407,821.23834,508.7616,904.6819,514.0198,813.73315,515.61017,925.40643,680.2809,778.4612,683.6757,947.7155,851.6069,753.65814,851.30994
5,907.5526,231.83185,916.5185,218.63013,894.1932,217.45432,917.91656,226.2409,856.1519,222.59308,931.2453,309.5962,800.896,306.4107,944.02496,433.02896,768.6907,429.95856,907.4958,516.033,823.56134,509.05783,904.5447,517.3774,810.14905,517.839,926.1533,684.3098,778.07874,684.8734,945.99133,854.8752,755.2402,850.3959
6,905.8904,239.30838,912.68005,227.57869,893.78595,225.34172,915.0822,236.67673,857.08124,228.02357,928.0805,315.80203,797.13837,309.67813,945.6579,425.15756,775.3574,427.0278,929.4115,503.07,830.0382,514.2993,912.2719,525.3281,827.3592,526.5615,918.284,648.0271,845.3375,650.54297,896.4516,719.7834,864.43823,724.99115
7,910.87506,233.97697,917.3321,221.92296,898.0511,219.87314,918.67566,232.8224,859.07965,224.6142,931.20996,315.48618,797.5862,310.38986,949.1455,425.9609,776.41595,430.99167,929.86365,502.62936,833.71893,518.74457,914.3995,531.9298,826.1159,533.47565,920.9099,656.28064,835.0946,659.2859,899.08636,728.1751,847.36566,734.5447
8,917.93463,237.80475,926.5576,224.07,904.31085,223.0221,927.4519,230.43141,865.4246,227.25774,940.9204,314.70786,806.80743,312.2643,949.41895,437.69943,776.0343,440.09723,915.4142,518.7433,822.4131,522.0215,907.3643,533.28064,809.43665,532.57837,934.24866,704.2388,773.22974,699.20166,951.6488,869.6854,744.29156,859.6138
9,912.73505,237.64563,921.8223,224.18614,899.7234,223.08362,924.39166,230.05655,863.58606,226.79929,939.7145,313.1501,807.42395,312.03076,948.8643,435.48984,778.88654,439.49057,913.6569,519.17523,822.69293,520.26245,908.251,531.41833,811.19934,531.197,936.2923,706.42163,773.65924,702.8733,954.4627,867.88055,743.45337,860.61475
10,908.7613,235.70819,918.28644,222.35806,895.7857,221.13556,922.5303,229.09767,861.24445,225.43657,939.6189,313.36572,806.85443,310.8025,948.627,436.84396,776.5106,438.33115,910.7522,516.67194,820.75415,519.2979,910.71356,529.5583,812.8588,528.72974,938.1326,703.8148,771.67255,700.40106,955.56464,866.3605,738.4082,860.3978
11,907.9201,232.53745,917.18555,219.80383,895.63696,218.23082,920.84717,228.38022,862.09,224.0485,938.6217,312.32996,809.12445,309.478,951.3445,435.736,778.30115,434.20746,912.48413,517.6419,823.3178,512.14453,913.09247,522.55176,817.5282,521.94257,938.36975,695.3557,775.20435,694.0447,956.0005,861.9526,740.944,857.9555
12,919.077,236.7377,928.0869,224.18623,906.7169,221.94937,929.3749,232.27052,868.8227,226.19934,942.0059,314.98196,811.4281,309.04495,955.84186,440.44247,774.85425,431.75198,911.97144,519.0444,821.8277,507.03296,913.9041,518.4244,817.8042,517.3834,936.85425,687.60834,775.3711,689.0976,955.3956,859.78937,743.1119,859.76166
13,918.96094,241.63065,927.5394,229.19623,906.73975,226.6734,927.00146,240.9732,866.41003,234.54996,935.6851,325.11163,809.93134,319.15573,951.7229,450.8648,778.2982,440.2153,910.3219,523.3588,828.3681,508.5903,914.21436,523.92395,818.8514,523.06696,937.24347,688.13727,776.5401,692.63715,950.9284,857.0023,741.9589,864.40283
14,925.45593,248.23334,931.8897,235.73058,913.9863,233.46721,926.23737,245.72191,871.022,239.72067,933.40857,324.6056,811.6987,322.11166,950.9312,443.66724,780.4263,442.3764,915.2675,518.91693,830.98486,510.32382,916.9865,523.15906,824.15625,524.0451,937.2063,687.90424,778.8159,694.0717,952.65735,859.72833,743.5911,867.09906
15,939.13,241.11475,944.842,228.36823,927.02295,225.6503,935.8925,238.74889,878.5091,231.6644,937.98566,321.87018,814.2063,317.6603,951.3375,447.82645,783.29596,445.235,914.66785,524.6047,831.709,517.0703,916.64154,523.67365,822.5926,523.6549,939.1035,693.66034,781.2459,697.35626,948.65497,861.473,743.0138,866.3765
16,903.73157,247.36093,916.3588,235.3472,892.65094,231.75293,925.5513,245.64624,862.8805,237.32085,940.7298,328.64676,813.3474,323.31436,953.91705,458.13916,784.5433,449.31427,914.7518,534.75055,830.3431,513.59674,918.8062,528.5102,822.85583,526.6494,940.4751,699.7957,776.26526,701.3271,950.38043,863.07245,743.0632,869.439
17,912.8247,248.04337,924.31775,235.92764,900.8777,232.12592,929.02844,246.15733,863.9315,236.8742,939.91315,329.36044,809.7691,324.15524,953.4205,458.5631,784.672,452.3313,910.7827,534.9029,829.9329,522.2152,919.69763,531.8793,821.7999,530.9621,943.8932,699.7981,777.6462,705.1469,948.63544,858.7127,742.6004,872.666
18,924.1191,251.43896,932.2952,237.91782,910.9735,236.03192,931.2695,245.3628,867.3533,240.66284,938.17737,326.12637,810.85144,325.42703,953.0605,453.23282,784.6996,452.45657,912.44275,533.8466,825.1608,524.94086,916.4769,527.9402,819.50354,529.7807,947.78046,689.7728,778.88727,701.16406,956.52966,852.2236,736.1988,871.49927
19,930.4985,253.74153,936.0582,240.15431,917.22253,238.01353,930.3945,246.0271,869.4672,241.1878,937.9468,325.37714,807.9835,323.3472,952.08295,450.29254,784.178,449.87677,915.52203,531.99976,829.18744,519.3727,913.5729,532.7997,814.7981,532.5141,944.8946,704.66144,775.58136,704.203,950.2747,869.31116,731.7707,867.187
20,915.6669,252.60394,924.3586,239.15254,901.85236,237.35028,926.40643,246.89749,861.3745,242.96521,938.11694,328.63464,805.3814,327.29465,948.85205,451.7332,778.2929,450.07132,914.35016,534.2597,831.46674,515.6494,913.1875,535.3375,812.9599,535.7325,946.9268,705.99243,775.79865,708.1319,947.4546,865.90173,730.26636,869.1351
21,916.9653,252.2341,924.122,238.91263,904.66376,237.94199,923.41077,243.74529,867.0581,240.85428,939.5682,320.67984,807.89966,321.8652,952.56354,437.6923,774.9504,445.5952,914.88104,525.5442,825.4534,523.3072,912.9946,528.8495,815.37946,530.48254,945.81854,698.2454,773.9586,700.6753,958.9146,864.1331,732.8864,864.3924
22,916.0412,257.0851,923.047,244.15585,904.476,242.46432,920.46954,248.84436,866.1887,243.72684,931.8344,325.48325,803.5703,321.96277,945.21796,442.2669,767.64374,443.14932,912.60297,527.64606,821.2562,527.09875,903.3888,530.99506,807.8099,531.65857,944.1468,699.32837,773.53143,701.22534,960.796,867.68665,732.7652,869.0376
23,919.70746,249.78159,926.3727,237.3359,908.15283,234.9132,921.5448,245.18939,866.885,238.3245,929.3863,326.22202,802.51636,321.0092,938.7832,446.18518,770.3482,448.1112,905.4115,529.20465,825.5156,534.146,902.07294,533.3183,806.96796,532.8803,941.4718,704.684,773.1698,702.2826,958.463,872.93726,735.3516,867.6935
24,915.7128,242.3388,922.45624,229.18405,903.22595,228.06995,917.91766,236.79158,861.5887,233.2337,925.61975,318.75494,801.1967,316.90625,936.7024,437.26218,769.46436,439.68787,912.401,523.67566,818.5932,524.70306,899.2986,531.07166,806.0398,532.4466,935.7864,701.6388,770.9445,703.0535,960.2203,868.5491,736.6506,866.606
25,915.73834,252.16782,922.7762,239.03723,903.00555,237.38068,918.77954,244.629,859.61194,239.60262,925.9996,323.37817,797.4503,320.54462,936.92474,442.9303,768.0775,445.98148,911.90924,526.75195,821.98334,531.08795,900.9502,534.72473,805.10266,536.20294,937.33563,694.63,769.0382,697.44916,958.0403,861.5521,736.5079,862.6745
26,916.69543,254.34091,922.69684,241.17027,904.3316,239.57108,916.201,245.97418,860.0191,241.51611,923.2676,323.81186,797.9944,324.14175,935.2207,442.98206,769.81134,449.37433,912.6004,535.3667,824.5443,527.0054,899.9206,536.13776,806.70154,538.72015,935.46924,701.17236,771.86206,703.9922,953.2348,867.5358,736.68146,865.2737
27,916.4561,255.9972,922.06665,242.81131,903.50305,242.12956,916.4739,248.10434,860.897,246.26962,924.50903,324.93274,804.3818,327.56955,937.57623,436.21317,775.21625,450.0759,916.1847,522.9397,824.6794,532.46155,899.73145,530.14734,810.5785,532.691,931.1291,696.85486,777.13885,699.1855,945.1906,864.7044,737.2652,862.08826
28,917.23206,249.67113,922.14813,236.44821,903.5378,235.65756,915.73114,246.3967,857.73016,244.93405,921.43787,329.09967,799.51666,331.32962,935.0849,443.60852,770.5959,450.28732,913.20233,530.79236,815.83417,519.5743,897.69037,536.965,806.1979,539.48456,934.7846,703.1602,784.35406,706.50574,935.933,865.461,739.12115,866.25183
29,909.3657,249.41565,916.94714,236.5524,895.7002,235.62547,915.95917,248.33047,854.7492,246.13852,921.6242,332.92545,800.38824,333.17807,934.1986,443.85205,769.65424,449.17923,913.2385,523.6589,819.49316,522.3878,896.16656,538.1172,804.9816,539.91785,929.2861,705.0947,778.3742,709.7027,934.5813,867.95013,736.5207,873.28876
30,914.0504,249.37317,922.36725,236.68735,900.6964,234.76007,921.2328,248.12833,858.3422,243.34094,926.82294,333.30676,801.0927,331.91983,940.1272,448.06406,771.3377,450.8095,916.3665,527.11536,819.93207,519.37866,900.993,541.2036,807.2073,542.1147,930.65186,711.52264,776.8982,714.62634,934.29126,871.12115,738.9998,875.43225
31,910.22394,247.5282,920.52545,234.96721,896.1435,232.93002,924.19904,247.49414,856.3773,242.84409,932.1859,334.45248,802.79736,332.5577,944.6182,450.0358,775.07465,451.88397,913.98236,525.523,821.75574,520.46173,902.5814,541.9223,806.3555,541.8262,933.4653,714.1938,778.1238,715.11584,936.2436,873.2232,742.85175,875.92145
32,925.63257,267.36566,932.86176,254.93346,913.1391,251.84518,928.5524,260.48965,866.24384,253.24818,931.4219,334.68127,804.79065,334.00992,950.2672,440.08575,778.95245,452.42188,922.1074,513.466,825.2089,520.0441,902.43005,538.175,808.1792,538.3349,930.80554,711.6647,778.83203,710.54004,935.34436,875.1447,747.7142,871.94885
33,925.6278,271.48828,931.0657,258.31204,913.22394,256.3954,924.8984,261.17606,868.0868,256.8978,931.56305,333.07,807.0593,334.37576,949.5145,440.80966,777.8757,452.16486,925.4458,512.58105,829.1954,514.0558,906.9035,538.4903,813.8987,540.1335,933.9915,710.01526,781.53174,712.71313,938.1185,870.7898,742.7462,871.27844
34,919.5196,266.56116,927.77295,254.06277,907.6813,251.21915,927.4968,261.33755,869.5988,254.77077,937.4035,341.7584,810.58417,335.7368,949.61755,464.43732,777.73083,454.8436,912.3047,534.8128,828.68866,515.6556,907.8131,545.3925,813.4333,543.9326,937.5487,712.5085,783.2333,713.42737,938.0982,869.2687,743.9749,872.80927
35,923.1881,257.98114,930.4303,244.5943,910.0748,243.27017,929.3421,253.8779,871.0481,251.05646,940.7791,337.64026,813.3322,334.3998,950.73364,459.91965,776.50714,454.8448,913.0586,533.1695,828.93097,521.35455,912.1245,541.23785,816.9397,540.6313,939.741,709.2527,784.8508,709.97186,941.5739,871.32806,741.47064,871.78235
36,926.2616,262.16144,933.43274,248.72379,913.5443,247.41861,930.7119,256.862,872.5477,253.68239,940.73114,338.46942,811.4028,337.7231,951.43726,458.6468,777.8533,456.0194,915.191,534.8277,832.2942,515.3088,911.54486,548.098,814.99585,549.22107,937.3957,717.08093,778.1426,722.31885,943.1649,872.5351,738.53217,878.34924
37,917.2079,280.74155,925.68243,268.06357,905.9588,265.88092,927.6321,271.1878,871.42236,266.1224,940.30835,342.56827,814.2719,338.95856,955.18164,454.50934,778.7936,451.91373,921.64984,525.0809,830.9847,516.9869,911.85065,541.50824,817.72797,540.78625,938.8122,711.824,783.9778,712.4487,947.9035,873.7187,750.0578,875.0957
38,907.6963,277.3722,916.82996,265.58554,899.70996,263.10303,922.264,270.79575,876.62604,265.2225,941.98376,341.84528,818.9814,338.2971,957.02765,461.28937,779.6785,455.14215,920.98737,537.999,835.55865,517.2955,909.7932,540.105,817.7505,539.4403,939.67883,707.3474,784.7185,710.4818,949.819,868.68646,747.518,874.56537
39,928.9166,268.49478,936.54645,256.37506,918.4556,253.61714,934.2711,265.32358,882.1981,258.6862,943.3235,343.6263,819.2393,338.15964,955.0013,463.83777,781.55554,456.91415,925.9171,542.05963,841.1986,525.84955,914.2217,541.1666,821.03015,540.6077,941.49335,707.2801,785.96466,709.4171,951.0886,868.7712,748.8332,871.2159
40,938.9628,267.61807,946.425,254.88025,926.8548,252.29128,942.02094,264.37396,883.6774,257.7487,943.9071,346.88754,819.716,339.46832,952.60895,473.26007,780.8053,460.65738,922.345,552.4439,839.473,529.366,913.5054,540.35187,819.7824,539.4942,942.0427,706.5351,786.30963,708.95074,950.8621,869.5804,748.5159,872.3896
41,943.45776,272.08585,948.89197,259.92078,932.8371,256.69223,939.5188,269.57825,888.64606,261.4118,942.26666,347.97867,820.0859,340.67874,955.3264,468.45712,781.7439,460.60483,924.963,543.8973,841.17554,529.24664,914.95154,542.3996,822.04675,541.3795,945.7709,707.2006,788.09216,707.732,953.91046,874.5531,747.7559,874.1803
42,939.7995,277.41907,946.2435,265.64026,929.5417,263.07526,940.81995,271.2946,889.9349,264.03644,946.743,344.32233,822.1795,337.98843,960.35345,456.59174,779.9451,452.90225,927.63855,530.21344,836.2747,527.3218,914.6378,538.51135,821.9905,538.47064,948.1432,706.9355,785.0858,710.6136,966.6175,870.83093,748.69147,874.8897
43,939.01196,272.11368,946.8206,260.1991,927.779,257.58774,944.18353,267.9059,888.16626,260.68582,949.7732,344.14545,822.39667,337.54623,962.0263,454.6566,780.95013,452.75677,928.8783,524.0269,836.99084,527.1045,915.10345,538.75946,820.45386,538.0109,948.49274,706.7057,783.1269,707.41754,968.2044,872.66583,749.0882,871.89026
44,936.8361,274.39056,944.9433,261.62158,924.84106,258.62927,942.0291,270.05057,883.3061,262.6945,945.9908,349.77548,819.2976,343.35748,956.60376,467.0885,782.8279,461.90213,928.6006,541.91425,845.00684,531.6753,914.8686,548.3682,819.31915,547.3914,946.3796,708.6322,785.87823,708.42957,954.8344,877.399,748.1995,876.0284
45,932.3821,283.82687,941.2584,271.26202,920.72485,267.67978,940.7106,276.84344,881.079,268.06757,945.0244,353.59927,819.3754,343.6224,955.57825,472.58386,783.77344,459.42535,927.9234,543.39734,842.57996,527.3529,914.4566,549.80444,819.722,547.2689,946.8373,710.6204,788.467,707.9802,955.3391,878.6239,753.3811,875.8814
46,927.17505,279.1195,937.62946,266.74045,915.4094,264.81464,943.34515,273.11407,882.29156,267.5755,953.2297,349.74252,824.2742,343.2487,962.292,461.85983,784.73334,455.7899,925.7908,533.0167,839.26227,529.4286,916.3096,544.3068,821.12366,543.2033,947.4808,710.6221,786.42834,711.1198,967.6165,874.27,757.9964,874.37256
47,926.3095,275.22052,936.67914,263.26236,915.21246,261.10724,942.0571,271.28897,883.41675,265.35754,952.94604,348.82993,824.8451,344.0618,962.39215,462.42343,787.5194,459.99124,925.2012,543.6141,839.30774,539.134,915.9562,545.9172,820.97955,545.3974,950.8836,710.8323,785.96045,712.6696,968.21356,875.229,752.63324,878.13904
48,940.75433,265.3893,949.7071,253.03537,927.0835,251.16623,947.1229,264.127,884.6285,260.56525,953.63165,344.7229,822.16315,344.8494,965.2966,458.00363,786.82166,461.63983,927.15765,542.63196,845.3366,538.75507,919.9356,537.6195,821.2669,539.1103,952.1162,708.1507,790.25946,710.915,967.04395,875.97473,756.8549,877.4528
49,948.284,266.86084,955.8823,255.1247,936.5023,252.26628,948.249,266.19388,893.0473,259.99924,951.57355,347.1567,824.0048,343.33734,962.98663,469.08655,787.89685,462.8519,924.6607,556.9434,848.70374,539.31775,915.5854,540.8072,819.449,541.13947,949.17303,711.83844,789.63196,712.67395,969.9463,879.1943,759.9064,877.567
50,936.29193,267.0101,945.1562,254.68666,924.4239,253.36826,946.64233,265.4741,888.85474,261.38882,954.9306,348.65625,826.5075,343.8966,962.9954,464.19205,787.60443,459.95517,928.3814,553.0424,843.0896,545.5217,914.17224,549.77747,819.404,549.4085,950.62683,717.4667,791.7667,717.37103,969.1526,879.98883,760.16693,877.6395
51,935.1191,265.48032,944.8904,252.89886,922.4032,251.93234,948.71545,263.8582,886.7959,260.80737,957.6953,348.10355,828.47534,345.9701,962.93414,462.206,792.36957,461.1266,926.43695,557.52484,842.24084,547.79913,918.68414,554.25244,823.1016,554.5349,952.6795,718.7212,791.05505,719.7831,967.9911,881.9028,758.19385,881.74664
52,934.71606,263.1699,945.0411,251.07953,922.0252,249.21469,946.29205,264.05795,886.3036,260.52835,955.59143,348.65817,825.82745,347.62372,964.01715,465.6285,788.37616,464.3273,929.9167,557.0858,845.9867,545.4937,917.90265,550.37115,820.89075,551.2897,950.8087,715.791,791.3597,718.7364,964.11255,882.1429,757.7005,885.8712
53,938.1094,260.9989,946.8966,249.29068,926.15796,247.24535,943.99646,263.46442,888.67255,259.4294,952.5972,347.58572,824.70886,347.38422,964.64795,464.46652,788.88904,466.36057,930.82104,557.0968,851.39343,548.2745,916.936,548.9773,820.6121,550.6472,952.1673,716.59314,791.4667,721.1018,966.12726,886.08826,754.87024,891.13245
54,941.2498,267.70752,950.39233,255.75311,929.1583,253.1846,947.3595,267.571,889.8519,261.97955,952.4854,351.17624,826.2169,346.84772,960.8201,475.9391,789.661,466.11282,926.54486,565.5101,850.1606,542.6802,918.50226,549.614,823.0117,549.9943,950.27936,717.31165,791.3104,721.0059,965.23865,887.0861,756.8485,892.14136
55,942.84467,270.66055,952.19696,258.82242,931.45276,256.0049,949.30176,269.10754,893.31464,262.9077,952.5062,351.14578,828.90967,345.80292,959.03986,476.8894,790.64526,465.2579,925.45935,568.7502,847.0476,544.85815,914.82556,548.66473,821.31775,548.506,947.8944,719.38934,791.6957,721.88635,966.0826,887.0061,759.3857,890.8068
56,937.5767,275.93857,947.3431,263.74982,926.842,261.74506,949.75507,271.26126,892.9095,265.49506,954.9176,350.1059,831.2492,344.87302,961.02155,469.37704,791.65137,462.26077,927.10895,564.0471,844.01447,546.0015,914.2286,550.08093,822.1813,549.917,947.9691,715.3175,789.3992,718.1461,969.6173,884.67554,759.6121,887.59827
57,938.89874,282.31763,947.3614,269.55194,927.83484,268.25967,948.03534,273.89832,891.95917,269.94867,954.7596,348.65323,829.78094,347.10782,964.08325,464.48557,791.36774,464.48907,927.45557,561.804,845.93195,547.7058,915.9599,550.8602,823.1763,552.31573,949.68823,714.66473,791.2654,720.36,969.0105,886.0944,759.8622,891.5609
58,943.2199,278.522,951.3472,265.6119,931.02374,263.8492,947.15515,272.40118,890.93024,268.77603,954.0531,351.0392,825.1055,350.26923,964.79095,474.3871,787.8054,469.90274,929.7631,567.5991,851.2057,543.7462,918.54803,554.6262,821.8221,556.74915,951.3986,717.7248,792.5576,724.2932,965.4483,887.7808,758.41626,895.11316
59,952.56647,269.56137,958.1871,256.87143,941.2768,255.43025,947.10297,267.61212,899.2757,264.5377,952.93805,351.1918,828.25934,349.8719,962.90594,480.4768,788.4545,472.41202,926.85626,571.23804,853.20013,544.4103,918.27686,557.8114,824.0686,560.1143,949.7717,720.77765,793.0738,728.3108,967.29736,889.204,756.0198,896.77295
60,957.1157,270.24768,962.40894,257.70914,945.71747,255.76447,949.90247,268.89404,901.68695,264.79678,953.12256,353.1029,829.05066,350.29834,963.5327,482.15262,788.70746,475.16565,927.43524,567.8522,852.6398,547.1413,915.18054,555.2741,821.4461,556.49194,949.8205,720.63715,794.6175,724.59015,965.35547,891.3064,756.2152,893.8081
61,956.35626,268.83447,961.4905,256.33282,944.75134,254.75876,948.759,268.1027,900.07184,264.9919,952.05493,351.296,829.0509,351.0814,962.8067,477.9237,790.8384,475.77603,925.5053,566.5159,855.65515,548.5459,917.4311,551.4187,824.15643,553.7959,949.65106,717.00745,795.6773,722.60614,968.1197,889.87994,760.07263,893.03394
